species,TFTx,BPP.CNP,CRISP,CTL,GF,KSPI,LAAO,ePLA2,vPLA2,SVMP,SVSP
Boiga_irregularis,2.662975226,-0.398461713,-0.285641449,-0.358105881,-0.462169254,-0.458694297,-0.463327573,-0.461474263,-0.463327573,0.688226777,-0.463327573
Dispholidus_typus,-0.140629497,-0.408989879,-0.175256643,-0.391676306,-0.404661486,-0.40249729,-0.408989879,-0.080031991,-0.408989879,2.821722852,-0.196308172
Hypsiglena_torquata,-0.460376482,-0.119084599,0.317538642,-0.174476052,-0.463092209,-0.461032003,-0.463654083,-0.463654083,-0.463654083,2.751484952,-0.463654083
Opheodrys_aestivus,2.742528187,-0.399213836,-0.399213836,-0.399213836,-0.399213836,-0.399213836,-0.399213836,0.451182501,-0.399213836,-0.399213836,-0.399213836
Pantherophis_guttatus,-0.151281523,-0.399284019,0.146321473,-0.399284019,-0.399284019,-0.399284019,-0.399284019,2.799948184,-0.399284019,-0.399284019,-0.399284019
Phalotris_mertensi,-0.492629779,-0.60291507,-0.590292055,0.822821283,-0.609558762,2.30436465,-0.459411318,-0.612216239,-0.612216239,0.852053529,-0.599651816
Philodryas_olfersii,-0.539435104,0.788405152,0.077062158,-0.195619323,-0.539435104,-0.539435104,-0.539435104,-0.539435104,-0.539435104,2.566762637,-0.065788923
Thamnodynastes_strigatus,-0.339477428,-0.347029762,-0.275282586,-0.143116735,-0.347029762,-0.347029762,-0.347029762,-0.347029762,-0.347029762,2.840055323,-0.323558544
Agkistrodon_piscivorus,-0.555961591,-0.255317351,-0.555961591,-0.155979758,-0.555961591,-0.555961591,-0.555961591,-0.555961591,2.007079893,1.739986761,-0.065786707
Atropoides_picadoi,-0.473776068,0.447183364,-0.347144146,-0.220512224,-0.462264075,-0.496224454,-0.318364164,-0.496800054,-0.364412135,2.732313956,0.068901152
Bothriechis_lateralis,-0.471887205,1.041012607,-0.361858128,-0.368734945,-0.45813357,-0.580540919,-0.348104493,-0.581916282,-0.375611762,2.505774697,0.063071096
Bothriechis_schlegelii,-0.363737891,1.035253997,-0.363737891,-0.770282542,-0.208294348,-0.779848299,-0.411566673,-0.794196933,0.305865064,2.350545516,1.30629117
Bothrops_alternatus,-0.52278517,0.12862613,-0.401335606,0.388086563,-0.384774302,-0.52278517,-0.423417345,-0.52278517,-0.445499084,2.706669156,-0.272798588
Bothrops_asper,-0.543732229,0.510616761,-0.543732229,-0.528882243,-0.603132172,-0.600904674,-0.291282471,-0.603132172,0.718516561,2.485664868,0.297477307
Bothrops_atrox,-0.478411682,-0.105145425,-0.452125326,-0.226062663,-0.42583897,-0.478411682,-0.404809885,-0.478411682,0.289149918,2.760067398,-0.091682733
Bothrops_colombiensis,-0.569277353,-0.496293077,-0.423308801,-0.277340249,-0.423308801,-0.569277353,-0.423308801,-0.569277353,1.620250928,2.13114086,0.222783197
